"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2014","635.00","635.00","635.00","635.00","-","-0.31%"
"Jun 11, 2014","637.00","637.00","637.00","637.00","-","0.00%"
"Jun 10, 2014","637.00","637.00","637.00","637.00","-","0.16%"
"Jun 09, 2014","636.00","636.00","636.00","636.00","-","0.16%"
"Jun 06, 2014","635.00","635.00","635.00","635.00","-","0.79%"
"Jun 05, 2014","630.00","630.00","630.00","630.00","-","-0.79%"
"Jun 04, 2014","635.00","635.00","635.00","635.00","-","-0.94%"
"Jun 03, 2014","641.00","641.00","641.00","641.00","-","-1.54%"
"Jun 02, 2014","651.00","651.00","651.00","651.00","-","-0.91%"
"May 30, 2014","657.00","657.00","657.00","657.00","-","-1.50%"
"May 29, 2014","667.00","667.00","667.00","667.00","-","-1.04%"
"May 28, 2014","674.00","674.00","674.00","674.00","-","-1.17%"
"May 27, 2014","682.00","682.00","682.00","682.00","-","-1.30%"
"May 23, 2014","691.00","691.00","691.00","691.00","-","1.02%"
"May 22, 2014","684.00","684.00","684.00","684.00","-","2.24%"
"May 21, 2014","669.00","669.00","669.00","669.00","-","2.76%"
"May 20, 2014","651.00","651.00","651.00","651.00","-","0.31%"
"May 19, 2014","649.00","649.00","649.00","649.00","-","-0.46%"
"May 16, 2014","652.00","652.00","652.00","652.00","-","-0.61%"
"May 15, 2014","656.00","656.00","656.00","656.00","-","-0.15%"
"May 14, 2014","657.00","657.00","657.00","657.00","-","-0.15%"
"May 13, 2014","658.00","658.00","658.00","658.00","-","-0.45%"
"May 12, 2014","661.00","661.00","661.00","661.00","-","-0.45%"
"May 09, 2014","664.00","664.00","664.00","664.00","-","-0.15%"
"May 08, 2014","665.00","665.00","665.00","665.00","-","1.53%"
